"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"MolecularSequence","","","",0,*,"","","","","Information about a biological sequence","Raw data describing a biological sequence.","","","","","","","","","",,,,,"",,,,"MolecularSequence",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}msq-3:Only 0 and 1 are valid for coordinateSystem {coordinateSystem = 1 or coordinateSystem = 0}","Entity. Role, or Act"
"MolecularSequence.quality.end","","","",0,1,"","","Y","integer {[]} {[]}
","End position of the sequence","End position of the sequence. If the coordinate system is 0-based then end is exclusive and does not include the last position. If the coordinate system is 1-base, then end is inclusive and includes the last position.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.end",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.score","","","",0,1,"","","Y","Quantity {[]} {[]}
","Quality score for the comparison","The score of an experimentally derived feature such as a p-value ([SO:0001685](http://www.sequenceontology.org/browser/current_svn/term/SO:0001685)).","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.score",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.method","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Method to get quality","Which method is used to get sequence quality.","","","","","","","","","",,"example","The method used to evaluate the numerical quality of the observed sequence.","http://hl7.org/fhir/ValueSet/sequence-quality-method","",,,,"MolecularSequence.quality.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.truthTP","","","",0,1,"","","Y","decimal {[]} {[]}
","True positives from the perspective of the truth data","True positives, from the perspective of the truth data, i.e. the number of sites in the Truth Call Set for which there are paths through the Query Call Set that are consistent with all of the alleles at this site, and for which there is an accurate genotype call for the event.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.truthTP",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.queryTP","","","",0,1,"","","Y","decimal {[]} {[]}
","True positives from the perspective of the query data","True positives, from the perspective of the query data, i.e. the number of sites in the Query Call Set for which there are paths through the Truth Call Set that are consistent with all of the alleles at this site, and for which there is an accurate genotype call for the event.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.queryTP",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.truthFN","","","",0,1,"","","Y","decimal {[]} {[]}
","False negatives","False negatives, i.e. the number of sites in the Truth Call Set for which there is no path through the Query Call Set that is consistent with all of the alleles at this site, or sites for which there is an inaccurate genotype call for the event. Sites with correct variant but incorrect genotype are counted here.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.truthFN",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.queryFP","","","",0,1,"","","Y","decimal {[]} {[]}
","False positives","False positives, i.e. the number of sites in the Query Call Set for which there is no path through the Truth Call Set that is consistent with this site. Sites with correct variant but incorrect genotype are counted here.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.queryFP",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.gtFP","","","",0,1,"","","Y","decimal {[]} {[]}
","False positives where the non-REF alleles in the Truth and Query Call Sets match","The number of false positives where the non-REF alleles in the Truth and Query Call Sets match (i.e. cases where the truth is 1/1 and the query is 0/1 or similar).","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.gtFP",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.precision","","","",0,1,"","","Y","decimal {[]} {[]}
","Precision of comparison","QUERY.TP / (QUERY.TP + QUERY.FP).","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.precision",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.recall","","","",0,1,"","","Y","decimal {[]} {[]}
","Recall of comparison","TRUTH.TP / (TRUTH.TP + TRUTH.FN).","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.recall",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.fScore","","","",0,1,"","","Y","decimal {[]} {[]}
","F-score","Harmonic mean of Recall and Precision, computed as: 2 * precision * recall / (precision + recall).","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.fScore",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Receiver Operator Characteristic (ROC) Curve","Receiver Operator Characteristic (ROC) Curve  to give sensitivity/specificity tradeoff.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.quality.roc.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.quality.roc.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.quality.roc.score","","","",0,*,"","","Y","integer {[]} {[]}
","Genotype quality score","Invidual data point representing the GQ (genotype quality) score threshold.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc.score",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc.numTP","","","",0,*,"","","Y","integer {[]} {[]}
","Roc score true positive numbers","The number of true positives if the GQ score threshold was set to ""score"" field value.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc.numTP",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc.numFP","","","",0,*,"","","Y","integer {[]} {[]}
","Roc score false positive numbers","The number of false positives if the GQ score threshold was set to ""score"" field value.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc.numFP",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc.numFN","","","",0,*,"","","Y","integer {[]} {[]}
","Roc score false negative numbers","The number of false negatives if the GQ score threshold was set to ""score"" field value.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc.numFN",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc.precision","","","",0,*,"","","Y","decimal {[]} {[]}
","Precision of the GQ score","Calculated precision if the GQ score threshold was set to ""score"" field value.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc.precision",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc.sensitivity","","","",0,*,"","","Y","decimal {[]} {[]}
","Sensitivity of the GQ score","Calculated sensitivity if the GQ score threshold was set to ""score"" field value.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc.sensitivity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.quality.roc.fMeasure","","","",0,*,"","","Y","decimal {[]} {[]}
","FScore of the GQ score","Calculated fScore if the GQ score threshold was set to ""score"" field value.","","","","","","","","","",,,,,"",,,,"MolecularSequence.quality.roc.fMeasure",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.readCoverage","","","",0,1,"","","Y","integer {[]} {[]}
","Average number of reads representing a given nucleotide in the reconstructed sequence","Coverage (read depth or depth) is the average number of reads representing a given nucleotide in the reconstructed sequence.","","","","","","","","","",,,,,"",,,,"MolecularSequence.readCoverage",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.repository","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","External repository which contains detailed report related with observedSeq in this resource","Configurations of the external repository. The repository shall store target's observedSeq or records related with target's observedSeq.","","","","","","","","","",,,,,"",,,,"MolecularSequence.repository",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.repository.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.repository.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.repository.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.repository.type","","","",1,1,"","","Y","code {[]} {[]}
","directlink | openapi | login | oauth | other","Click and see / RESTful API / Need login to see / RESTful API with authentication / Other ways to see resource.","","","","","","","","","",,"required","Type for access of external URI.","http://hl7.org/fhir/ValueSet/repository-type|4.0.1","",,,,"MolecularSequence.repository.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.repository.url","","","",0,1,"","","Y","uri {[]} {[]}
","URI of the repository","URI of an external repository which contains further details about the genetics data.","","","","","","","","","",,,,,"",,,,"MolecularSequence.repository.url",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.repository.name","","","",0,1,"","","Y","string {[]} {[]}
","Repository's name","URI of an external repository which contains further details about the genetics data.","","","","","","","","","",,,,,"",,,,"MolecularSequence.repository.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.repository.datasetId","","","",0,1,"","","Y","string {[]} {[]}
","Id of the dataset that used to call for dataset in repository","Id of the variant in this external repository. The server will understand how to use this id to call for more info about datasets in external repository.","","","","","","","","","",,,,,"",,,,"MolecularSequence.repository.datasetId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.repository.variantsetId","","","",0,1,"","","Y","string {[]} {[]}
","Id of the variantset that used to call for variantset in repository","Id of the variantset in this external repository. The server will understand how to use this id to call for more info about variantsets in external repository.","","","","","","","","","",,,,,"",,,,"MolecularSequence.repository.variantsetId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.repository.readsetId","","","",0,1,"","","Y","string {[]} {[]}
","Id of the read","Id of the read in this external repository.","","","","","","","","","",,,,,"",,,,"MolecularSequence.repository.readsetId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.pointer","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MolecularSequence]]}
","Pointer to next atomic sequence","Pointer to next atomic sequence which at most contains one variant.","","","","","","","","","",,,,,"",,,,"MolecularSequence.pointer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Structural variant","Information about chromosome structure variation.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.structureVariant.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.structureVariant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.structureVariant.variantType","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Structural variant change type","Information about chromosome structure variation DNA change type.","","","","","","","","","",,"required","DNA change type.","http://loinc.org/vs/LL379-9|4.0.1","",,,,"MolecularSequence.structureVariant.variantType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.exact","","","",0,1,"","","Y","boolean {[]} {[]}
","Does the structural variant have base pair resolution breakpoints?","Used to indicate if the outer and inner start-end values have the same meaning.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.exact",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.length","","","",0,1,"","","Y","integer {[]} {[]}
","Structural variant length","Length of the variant chromosome.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.length",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.outer","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Structural variant outer","Structural variant outer.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.outer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.outer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.structureVariant.outer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.structureVariant.outer.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.structureVariant.outer.start","","","",0,1,"","","Y","integer {[]} {[]}
","Structural variant outer start","Structural variant outer start. If the coordinate system is either 0-based or 1-based, then start position is inclusive.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.outer.start",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.outer.end","","","",0,1,"","","Y","integer {[]} {[]}
","Structural variant outer end","Structural variant outer end. If the coordinate system is 0-based then end is exclusive and does not include the last position. If the coordinate system is 1-base, then end is inclusive and includes the last position.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.outer.end",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.inner","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Structural variant inner","Structural variant inner.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.inner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.inner.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MolecularSequence.structureVariant.inner.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MolecularSequence.structureVariant.inner.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MolecularSequence.structureVariant.inner.start","","","",0,1,"","","Y","integer {[]} {[]}
","Structural variant inner start","Structural variant inner start. If the coordinate system is either 0-based or 1-based, then start position is inclusive.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.inner.start",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MolecularSequence.structureVariant.inner.end","","","",0,1,"","","Y","integer {[]} {[]}
","Structural variant inner end","Structural variant inner end. If the coordinate system is 0-based then end is exclusive and does not include the last position. If the coordinate system is 1-base, then end is inclusive and includes the last position.","","","","","","","","","",,,,,"",,,,"MolecularSequence.structureVariant.inner.end",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
